SKU,NamaBarang,HargaBeli,Jumlah,Total
SSI-D00791015-LL-BWH,"Zalekia Plain Casual Blouse (L,Broken White)",70447,53,3733691
SSI-D00791077-MM-BWH,"Zalekia Plain Casual Blouse (M,Broken White)",71854,36,2586744
SSI-D00791091-XL-BWH,"Zalekia Plain Casual Blouse (XL,Broken White)",73323,58,4252734
SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",67365,55,3705075
SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",65560,14,917840
SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",71624,5,358120
SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",69929,46,3216734
SSI-D01037807-X3-BWH,"Dellaya Plain Loose Big Blouse (XXXL,Broken White)",62320,106,6605920
SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",67978,250,16994500
SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",74010,30,2220300
SSI-D01220307-XL-SAL,"Devibav Plain Trump Blouse (XL,Salem)",69046,280,19332880
SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",67666,160,10826560
SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",71835,153,10990755
SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",67300,150,10095000
SSI-D01220346-LL-SAL,"Devibav Plain Trump Blouse (L,Salem)",71880,311,22354680
SSI-D01220349-LL-YEL,"Devibav Plain Trump Blouse (L,Yellow)",72543,224,16249632
SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",65364,89,5817396
SSI-D01220357-SS-YEL,"Devibav Plain Trump Blouse (S,Yellow)",63650,38,2418700
SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",67500,199,13432500
SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",73600,40,2944000
SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",62360,14,873040
SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",69808,321,22408368
SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",75209,30,2256270
SSI-D01326223-MM-KHA,"Siunfhi Ethnic Trump Blouse (M,Khaki)",64728,320,20712960
SSI-D01326286-LL-KHA,"Siunfhi Ethnic Trump Blouse (L,Khaki)",68454,344,23548176
SSI-D01326299-LL-NAV,"Siunfhi Ethnic Trump Blouse (L,Navy)",66955,84,5624220
SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",80230,141,11312430
SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",78612,146,11477352
SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",74059,144,10664496
SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",78269,126,9861894
SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",70071,119,8338449
louse (M,Red)",80230.000000,141,11312430.000000
SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",78612.000000,146,11477352.000000
SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",74059.000000,144,10664496.000000
SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",78269.000000,126,9861894.000000
SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",70071.000000,119,8338449.000000
