IdPesanan,SKU,NamaBarang,Jumlah,HargaBeli,HargaJual,Laba
ID-20180109-853724,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,80230,115000,34770
ID-20180109-853724,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,74010,125000,50990
ID-20180108-149680,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",2,62360,115000,-9720
ID-20180108-548167,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,78612,125000,46388
ID-20180108-548167,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,62360,115000,52640
ID-20180108-901847,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,80230,120000,39770
ID-20180108-170723,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,80230,110000,29770
ID-20180108-170723,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",1,67300,130000,62700
ID-20180108-268141,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,74010,110000,35990
ID-20180108-750817,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,74059,130000,55941
ID-20180108-921818,SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",1,67978,130000,62022
ID-20180108-054736,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,71624,120000,48376
ID-20180108-771439,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,62360,115000,52640
ID-20180108-514947,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,71624,130000,58376
ID-20180108-514947,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,78612,130000,51388
ID-20180108-300302,SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",1,75209,130000,54791
ID-20180108-314485,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,120000,49929
ID-20180108-314485,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,70071,115000,44929
ID-20180108-712081,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,74010,130000,55990
ID-20180108-290736,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,74010,115000,40990
ID-20180108-290736,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,71624,115000,43376
ID-20180108-516025,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,71624,110000,38376
ID-20180108-232069,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",1,67500,125000,57500
